Index,Code,Company,Market Cap,Share Price,Change
1,BHP.AX,BHP Group Limited,133.98B,44.72,0.00%
2,FMG.AX,Fortescue Metals Group,72.94B,23.83,0.00%
3,RIO.AX,Rio Tinto,44.07B,117.35,0.00%
4,NCM.AX,Newcrest Mining,21.41B,25.96,0.00%
5,JHX.AX,James Hardie,18.09B,40.70,0.00%
6,AMC.AX,Amcor,12.84B,14.54,0.00%
7,S32.AX,South32,12.53B,2.59,0.00%
8,NST.AX,Northern Star Resources,9.11B,12.06,0.00%
9,BSL.AX,BlueScope Steel,8.63B,17.00,0.00%
10,EVN.AX,Evolution Mining,8.05B,4.62,0.00%
11,MIN.AX,Mineral Resources Limited,6.93B,35.97,0.00%
12,OZL.AX,OZ Minerals,6.42B,19.24,0.00%
13,ORI.AX,Orica,6.27B,15.30,0.00%
14,BLD.AX,Boral,6.21B,5.04,0.00%
15,SAR.AX,Saracen Mineral Holdings,5.27B,4.69,0.00%
16,IPL.AX,Incitec Pivot,5.17B,2.64,0.00%
17,FBU.AX,Fletcher Building Limited,4.95B,5.90,0.00%
18,IGO.AX,IGO Limited,4.94B,6.46,0.00%
19,AWC.AX,Alumina,4.86B,1.685,0.00%
20,LYC.AX,Lynas Rare Earths Limited,4.51B,5.03,0.00%
21,NIC.AX,Nickel Mines Limited,2.99B,1.195,0.00%
22,BKW.AX,Brickworks,2.98B,19.60,0.00%
23,ILU.AX,Iluka Resources,2.96B,7.02,0.00%
24,PLS.AX,Pilbara Minerals,2.74B,0.965,0.00%
25,CSR.AX,CSR,2.73B,5.48,0.00%
26,ORA.AX,Orora,2.63B,2.81,0.00%
27,CIA.AX,Champion Iron,2.6B,5.42,0.00%
28,SGM.AX,Sims Limited,2.5B,12.55,0.00%
29,DRR.AX,Deterra Royalties Limited,2.39B,4.50,0.00%
30,ABC.AX,Adbri Limited,1.98B,2.98,0.00%
31,RRL.AX,Regis Resources,1.81B,3.47,0.00%
32,NUF.AX,Nufarm,1.77B,4.68,0.00%
33,CRN.AX,Coronado Global Resources Inc.,1.74B,1.26,0.00%
34,ORE.AX,Orocobre Limited,1.68B,4.87,0.00%
35,SBM.AX,St Barbara Limited,1.62B,2.24,0.00%
36,PRU.AX,Perseus Mining,1.53B,1.185,0.00%
37,CHN.AX,Chalice Mining Limited,1.53B,4.48,0.00%
38,SLR.AX,Silver Lake Resources,1.4B,1.525,0.00%
39,ZIM.AX,Zimplats Holdings,1.35B,12.50,0.00%
40,GXY.AX,Galaxy Resources,1.26B,2.53,0.00%
41,RMS.AX,Ramelius Resources,1.16B,1.42,0.00%
42,DEG.AX,De Grey Mining,1.14B,0.885,0.00%
43,GOR.AX,Gold Road Resources,1.08B,1.19,0.00%
44,MGX.AX,Mount Gibson Iron,1.02B,0.88,0.00%
45,PRN.AX,Perenti Global Limited,1.01B,1.43,0.00%
46,PLL.AX,Piedmont Lithium Limited,997.49M,0.715,0.00%
47,PGH.AX,Pact Group Holdings,925.34M,2.67,0.00%
48,WGX.AX,Westgold Resources Limited,915.53M,2.00,0.00%
49,SFR.AX,Sandfire Resources Limited,896.6M,5.00,0.00%
50,BGL.AX,Bellevue Gold Limited,872.48M,0.98,0.00%
51,LTR.AX,Liontown Resources,804.63M,0.445,0.00%
52,VUL.AX,Vulcan Energy Resources Limited,792.01M,7.37,0.00%
53,RSG.AX,Resolute Mining,772.73M,0.685,0.00%
54,WAF.AX,West African Resources,769.91M,0.835,0.00%
55,IMD.AX,Imdex Limited,759.21M,1.925,0.00%
56,ABR.AX,American Pacific Borates Limited,727.69M,1.94,0.00%
57,INR.AX,ioneer Ltd,724.94M,0.47,0.00%
58,WSA.AX,Western Areas Ltd,684.92M,2.45,0.00%
59,JMS.AX,Jupiter Mines Limited,646.47M,0.34,0.00%
60,ADN.AX,Andromeda Metals Limited,645.82M,0.30,0.00%
61,ASM.AX,Australian Strategic Materials Limited,627.39M,5.27,0.00%
62,CMM.AX,Capricorn Metals Ltd,595.08M,1.70,0.00%
63,AVZ.AX,AVZ Minerals Limited,578.03M,0.20,0.00%
64,SYR.AX,Syrah Resources,566.68M,1.14,0.00%
65,AGG.AX,Anglogold Ashanti,535.25M,6.00,0.00%
66,MAH.AX,Macmahon Holdings,527.97M,0.25,0.00%
67,OMH.AX,OM Holdings,502.26M,0.68,0.00%
68,AMI.AX,Aurelia Metals,493.73M,0.395,0.00%
69,ALK.AX,Alkane Resources Limited,476.31M,0.78,0.00%
70,MLD.AX,MACA Limited,464.73M,1.335,0.00%
71,BCK.AX,Brockman Mining Ltd,463.96M,0.05,0.00%
72,TLG.AX,Talga Group Ltd,457.88M,1.51,0.00%
73,MCR.AX,Mincor Resources NL,434.02M,1.005,0.00%
74,GRR.AX,Grange Resources,428.22M,0.37,0.00%
75,RED.AX,Red 5 Limited,423.75M,0.215,0.00%
76,ADT.AX,Adriatic Metals,423.41M,2.34,0.00%
77,EMR.AX,Emerald Resources NL,394.28M,0.765,0.00%
78,SSR.AX,SSR Mining Inc,381.16M,21.12,0.00%
79,JRV.AX,Jervois Mining,372.98M,0.465,0.00%
80,EGR.AX,EcoGraf Limited,349.43M,0.96,0.00%
81,WGN.AX,Wagners Holding Company,337.89M,1.805,0.00%
82,SO4.AX,Salt Lake Potash Limited,332.61M,0.455,0.00%
83,BSE.AX,Base Resources,329.84M,0.28,0.00%
84,LEG.AX,Legend Mining,321.39M,0.12,0.00%
85,PAN.AX,Panoramic Resources,317.89M,0.155,0.00%
86,LKE.AX,Lake Resources NL,312.36M,0.31,0.00%
87,PNR.AX,Pantoro Limited,309.85M,0.22,0.00%
88,MAU.AX,Magnetic Resources NL,309.13M,1.43,0.00%
89,A4N.AX,Alpha HPA Limited,308.11M,0.445,0.00%
90,TBR.AX,Tribune Resources,303.79M,5.79,0.00%
91,SVL.AX,Silver Mines Limited,286.54M,0.275,0.00%
92,ARU.AX,Arafura Resources,280.76M,0.24,0.00%
93,GGG.AX,Greenland Minerals Limited,268.2M,0.20,0.00%
94,CTM.AX,Centaurus Metals,263.75M,0.805,0.00%
95,DCN.AX,Dacian Gold,261.56M,0.445,0.00%
96,FMS.AX,Flinders Mines,251.58M,1.49,0.00%
97,CXO.AX,Core Lithium Ltd,250.61M,0.25,0.00%
98,E25.AX,Element 25 Limited,245.37M,1.85,0.00%
99,NVA.AX,Nova Minerals Limited,242.14M,0.145,0.00%
100,CXL.AX,Calix Limited,237.9M,1.60,0.00%
101,OBM.AX,Ora Banda Mining Ltd,235.82M,0.28,0.00%
102,HAS.AX,Hastings Technology Metals,234.84M,0.195,0.00%
103,CLV.AX,Clover Corp,232.83M,1.40,0.00%
104,ANO.AX,Advance NanoTek Limited,232.75M,3.88,0.00%
105,NTU.AX,Northern Minerals,230.52M,0.052,0.00%
106,IRD.AX,Iron Road Limited,230.44M,0.30,0.00%
107,MNS.AX,Magnis Energy Technologies,226.3M,0.31,0.00%
108,HZR.AX,Hazer Group Limited,226M,1.555,0.00%
109,NCZ.AX,New Century Resources Limited,223.84M,0.185,0.00%
110,KCN.AX,Kingsgate Consolidated Limited,211.52M,0.935,0.00%
111,AJM.AX,Altura Mining,209.04M,0.07,0.00%
112,HFR.AX,Highfield Resources,207.65M,0.63,0.00%
113,POS.AX,Poseidon Nickel,205.09M,0.073,0.00%
114,NMT.AX,Neometals Limited,204.51M,0.375,0.00%
115,CEL.AX,Challenger Exploration,204.4M,0.37,0.00%
116,GNG.AX,GR Engineering Services,204.03M,1.315,0.00%
117,BCI.AX,BCI Minerals Limited,203.45M,0.34,0.00%
118,CYL.AX,Catalyst Metals,199.54M,2.03,0.00%
119,DGO.AX,DGO Gold Limited,192.71M,2.62,0.00%
120,ORR.AX,Orecorp Limited,191.97M,0.60,0.00%
121,FFX.AX,Firefinch Limited,191.57M,0.245,0.00%
122,PM8.AX,Pensana Metals Ltd,187.38M,1.545,0.00%
123,MGV.AX,Musgrave Minerals,186.63M,0.35,0.00%
124,TIE.AX,Tietto Minerals Limited,184.25M,0.405,0.00%
125,MRC.AX,Mineral Commodities,182.5M,0.40,0.00%
126,KLL.AX,Kalium Lakes Limited,180.42M,0.215,0.00%
127,AUT.AX,Auteco Minerals Ltd,180.23M,0.115,0.00%
128,SES.AX,SECOS Group Ltd,178.73M,0.335,0.00%
129,PPG.AX,Pro-Pac Packaging,178.44M,0.22,0.00%
130,MML.AX,Medusa Mining,176.69M,0.85,0.00%
131,AXE.AX,Archer Materials Limited,174.87M,0.775,0.00%
132,PEK.AX,Peak Resources Limited,174.08M,0.11,0.00%
133,IMA.AX,Image Resources NL,173.62M,0.175,0.00%
134,SVM.AX,Sovereign Metals,173.47M,0.44,0.00%
135,SVY.AX,Stavely Minerals,172.24M,0.66,0.00%
136,AIS.AX,Aeris Resources Limited,170.73M,0.09,0.00%
137,LCY.AX,Legacy Iron Ore,168.68M,0.027,0.00%
138,BOC.AX,Bougainville Copper Limited,166.44M,0.415,0.00%
139,TGN.AX,Tungsten Mining NL,165.15M,0.21,0.00%
140,TGM.AX,Theta Gold Mines Limited,164.09M,0.355,0.00%
141,VRX.AX,VRX Silica Ltd,164.01M,0.325,0.00%
142,EMH.AX,European Metals Holdings,159.87M,1.26,0.00%
143,FGR.AX,First Graphene Limited,159.54M,0.30,0.00%
144,MLX.AX,Metals X Limited,158.77M,0.175,0.00%
145,KGL.AX,KGL Resources,157.8M,0.47,0.00%
146,BSX.AX,Blackstone Minerals Limited,157.7M,0.49,0.00%
147,OGC.AX,OceanaGold Corporation,157.49M,2.24,0.00%
148,WMX.AX,Wiluna Mining Corporation Limited,154.37M,1.30,0.00%
149,CAI.AX,Calidus Resources Limited,154.06M,0.45,0.00%
150,AGY.AX,Argosy Minerals,152.93M,0.15,0.00%
151,NWF.AX,Newfield Resources,151.14M,0.26,0.00%
152,SYA.AX,Sayona Mining,145.84M,0.039,0.00%
153,ATU.AX,Atrum Coal Limited,145.24M,0.25,0.00%
154,ZNO.AX,Zoono Group Limited,145.24M,0.885,0.00%
155,ORN.AX,Orion Minerals Limited,143.38M,0.042,0.00%
156,TTM.AX,Titan Minerals Limited,142.43M,0.125,0.00%
157,FYI.AX,FYI Resources,140.22M,0.465,0.00%
158,G1A.AX,Galena Mining Limited,138.86M,0.30,0.00%
159,BDC.AX,Bardoc Gold Limited,138.81M,0.08,0.00%
160,AZS.AX,Azure Minerals,138.64M,0.45,0.00%
161,CII.AX,CI Resources,137.54M,1.19,0.00%
162,GMD.AX,Genesis Minerals Limited,136.01M,0.07,0.00%
163,SFX.AX,Sheffield Resources,134.96M,0.405,0.00%
164,MYL.AX,Myanmar Metals Limited,133.08M,0.07,0.00%
165,RTG.AX,RTG Mining,131.06M,0.205,0.00%
166,LIT.AX,Lithium Australia NL,129.32M,0.145,0.00%
167,IXR.AX,Ionic Rare Earths Limited,126.49M,0.045,0.00%
168,EMN.AX,Euro Manganese Inc,123.77M,0.64,0.00%
169,GCY.AX,Gascoyne Resources,122.92M,0.49,0.00%
170,GLN.AX,Galan Lithium Limited,122.27M,0.515,0.00%
171,RVR.AX,Red River Resources,121.68M,0.235,0.00%
172,TNG.AX,TNG Limited,121.2M,0.097,0.00%
173,ZEO.AX,Zeotech Limited,120.38M,0.084,0.00%
174,DNK.AX,Danakali Limited,119.53M,0.375,0.00%
175,BBX.AX,BBX Minerals,119.37M,0.275,0.00%
176,LPD.AX,Lepidico Limited,119.32M,0.023,0.00%
177,TIG.AX,Tigers Realm Coal,117.48M,0.008,0.00%
178,AGD.AX,Austral Gold,117.3M,0.195,0.00%
179,BRI.AX,Big River Industries Limited,116.92M,1.60,0.00%
180,IVR.AX,Investigator Resources,116.51M,0.088,0.00%
181,BCN.AX,Beacon Minerals,114.93M,0.04,0.00%
182,AMN.AX,Agrimin Limited,112.93M,0.525,0.00%
183,FEX.AX,Fenix Resources Ltd,111.16M,0.245,0.00%
184,LOT.AX,Lotus Resources Limited,110.67M,0.135,0.00%
185,BKT.AX,Black Rock Mining Limited,110.62M,0.155,0.00%
186,SDV.AX,SciDev Limited,110.32M,0.72,0.00%
187,HCH.AX,Hot Chili,110.12M,0.036,0.00%
188,TSO.AX,Tesoro Resources Limited,109.9M,0.22,0.00%
189,STA.AX,Strandline Resources Limited,109.81M,0.21,0.00%
190,NTM.AX,NTM Gold Limited,109.7M,0.16,0.00%
191,ARV.AX,Artemis Resources,107.99M,0.095,0.00%
192,RND.AX,Rand Mining,105.26M,1.75,0.00%
193,APC.AX,Australian Potash Limited,104.69M,0.19,0.00%
194,VML.AX,Vital Metals,104.31M,0.039,0.00%
195,AOP.AX,Apollo Consolidated,98.13M,0.3425,0.00%
196,KIN.AX,Kin Mining NL,98.06M,0.14,0.00%
197,TAM.AX,Tanami Gold NL,97.53M,0.083,0.00%
198,CAA.AX,Capral Limited,96.89M,5.85,0.00%
199,OKU.AX,Oklo Resources,95.77M,0.19,0.00%
200,AUZ.AX,Australian Mines Limited,95.07M,0.024,0.00%
