"","market_cap_intra_day_5","enterprise_value_3","trailing_p_e","forward_p_e_1","peg_ratio_5_yr_expected_1","price_sales_ttm","price_book_mrq","enterprise_value_revenue_3","enterprise_value_ebitda_6","beta_5y_monthly","x52_week_change_3","s_p500_52_week_change_3","x52_week_high_3","x52_week_low_3","x50_day_moving_average_3","x200_day_moving_average_3","avg_vol_3_month_3","avg_vol_10_day_3","shares_outstanding_5","float","percent_held_by_insiders_1","percent_held_by_institutions_1","shares_short_4","short_ratio_4","short_percent_of_float_4","short_percent_of_shares_outstanding_4","shares_short_prior_month_4","forward_annual_dividend_rate_4","forward_annual_dividend_yield_4","trailing_annual_dividend_rate_3","trailing_annual_dividend_yield_3","x5_year_average_dividend_yield_4","payout_ratio_4","dividend_date_3","ex_dividend_date_4","last_split_factor_2","last_split_date_3","profit_margin","operating_margin_ttm","return_on_assets_ttm","return_on_equity_ttm","revenue_ttm","revenue_per_share_ttm","quarterly_revenue_growth_yoy","gross_profit_ttm","ebitda","net_income_avi_to_common_ttm","diluted_eps_ttm","quarterly_earnings_growth_yoy","total_cash_mrq","total_cash_per_share_mrq","total_debt_mrq","total_debt_equity_mrq","current_ratio_mrq","book_value_per_share_mrq","operating_cash_flow_ttm","levered_free_cash_flow_ttm","Code"
"1","18.1M","17.67M","N/A","N/A","N/A","20,407.95","5.00","19,922.10","-31.91","1.48","150.00%","16.75%","0.0100","0.0010","0.0046","0.0054","17.77M","10.68M","3.62B","2.3B","35.93%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-66,220.97%","-17.66%","-37.83%","887","0.00","97.00%","887","-553.78k","-601.47k","-0.0000","N/A","405.96k","0","N/A","N/A","2.35","0.00","-362.95k","-1.15M","DDD.AX"
"2","7.84M","6.98M","N/A","N/A","N/A","117.35","1.19","104.42","-8.00","0.63","85.19%","16.75%","0.1400","0.0137","0.0569","0.0680","384.3k","607.66k","156.85M","79.57M","42.31%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-2,163.40%","-23.15%","-39.94%","66.83k","0.00","45.20%","66.83k","-871.99k","-1.51M","-0.0270","N/A","183.99k","0","N/A","N/A","1.14","0.04","-673.32k","-271.31k","AX8.AX"
"3","51.26M","26.78M","N/A","N/A","N/A","922.63","N/A","482.00","-30.59","1.50","1,600.00%","16.75%","0.1100","0.0050","0.0253","0.0153","7.75k","35.62k","466.03M","2.68M","98.52%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-1,988.82%","-16.57%","N/A","55.56k","0.00","335.40%","N/A","-875.33k","-2.02M","-0.0110","N/A","1.09M","0.01","7.96M","N/A","1.43","-0.02","-736.88k","-1.07M","ACS.AX"
"4","30.11M","32.68M","N/A","N/A","N/A","557,640.88","4.59","605,234.50","-53.40","0.43","-5.56%","16.75%","0.1800","0.0790","0.1512","0.1353","3.96k","2.27k","177.13M","12.81M","92.32%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:5","28 Nov 2016","0.00%","-2,914,039.06%","-10.27%","-20.83%","54","0.00","N/A","54","-612k","-1.52M","-0.0090","N/A","209.26k","0","2.77M","42.26","2.75","0.04","-310.25k","-460.38k","AIV.AX"
"5","1.95B","2.43B","20.69","N/A","N/A","1.33","1.62","1.66","11.11","1.25","-6.29%","16.75%","3.6000","1.7400","3.1266","2.9578","1.08M","726.56k","653.33M","367.01M","43.25%","14.60%","N/A","N/A","N/A","N/A","N/A","0.1","3.19%","0.10","3.29%","3.67","34.97%","N/A","21 Sep 2020","1:1","06 Mar 2008","6.45%","9.26%","3.68%","8.10%","1.46B","2.27","-7.30%","226M","219.1M","94.3M","0.1440","N/A","481.7M","0.75","985.6M","82.52","4.27","1.84","264.7M","96.28M","ABC.AX"
"6","16.23M","26.9M","N/A","N/A","N/A","16.67","1.40","27.62","-35.42","0.11","240.00%","16.75%","0.0750","0.0040","0.0137","0.0122","675.9k","761.59k","1.16B","659.43M","40.13%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:5","02 Dec 2010","-158.75%","-79.03%","-2.12%","-12.55%","973.76k","0.00","-66.20%","N/A","-759.49k","-1.55M","-0.0010","N/A","102.9k","0","10.77M","93.33","0.15","0.01","-651.4k","-2.29M","ADY.AX"
"7","501.19M","424.42M","N/A","N/A","N/A","N/A","36.25","N/A","N/A","1.04","39.94%","16.75%","2.8600","0.7800","2.2515","2.2546","231.18k","166.13k","385.53M","102.14M","47.88%","11.85%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","0.00%","-26.16%","-40.06%","N/A","N/A","N/A","N/A","N/A","N/A","-0.0300","N/A","N/A","N/A","N/A","1.27","16.79","0.06","N/A","N/A","ADT.AX"
"8","223.16M","222.96M","103.33","N/A","N/A","18.12","7.83","18.10","56.06","1.18","-47.53%","16.75%","6.6600","2.9200","4.1045","3.8891","26.5k","30.67k","59.99M","18.78M","70.73%","0.01%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:10","05 Oct 2017","17.75%","27.58%","7.01%","8.77%","12.32M","0.21","-61.90%","12.42M","3.98M","2.19M","0.0360","-93.30%","400k","0.01","3.1M","11.00","7.09","0.47","1.13M","-2.88M","ANO.AX"
"9","71.14M","87.69M","N/A","N/A","N/A","N/A","1.13","N/A","-39.70","1.72","-7.69%","16.75%","0.2250","0.0540","0.1270","0.1327","507.84k","418.52k","677.57M","194.02M","25.23%","47.81%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","0.00%","-4.09%","-8.24%","N/A","N/A","N/A","N/A","-2.21M","-5.38M","-0.0080","N/A","2.48M","0","19.04M","30.21","2.65","0.09","-1.87M","-7.84M","AML.AX"
"10","170.73M","167.92M","N/A","N/A","N/A","0.75","1.88","0.74","5.66","1.75","55.00%","16.75%","0.1300","0.0280","0.0999","0.0743","7.82M","3.5M","1.9B","1.05B","34.09%","21.14%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:10","17 Dec 2015","-16.87%","-9.94%","-7.60%","-50.95%","227.31M","0.44","0.40%","10.01M","29.65M","-38.35M","-0.0740","N/A","56.83M","0.03","56.16M","76.26","1.75","0.05","30.24M","21.19M","AIS.AX"
