Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
GLD,161.66,2021/03/10,14:14 EST,0.8200073,161.06,161.69,160.66,5550351,,,,,,,
"^TNX",1.513,2021/03/10,13:59 EST,-0.032999992,1.561,1.563,1.506,0,,,,,,,
DX-Y.NYB,91.878,2021/03/10,14:04 EST,-0.08000183,92.047,92.241,91.796,,,,,,,,
"^DJI",32328.85,2021/03/10,14:14 EST,496.10938,31906.96,32330.64,31906.96,271824997,,,,,,,
"^VIX",22.73,2021/03/10,13:59 EST,-1.3000011,23.76,23.87,22.4,0,,,,,,,
"^GSPC",3909.19,2021/03/10,14:14 EST,33.75,3891.99,3912.54,3885.73,1692211987,,,,,,,
KL,34.63,2021/03/10,14:14 EST,0.4300003,34.44,34.68,33.69,809865,,,,,,,
TSLA,675.66,2021/03/10,14:14 EST,2.079956,700.3,717.85,655.06,50152528,,,,,,,
GME,264.5,2021/03/10,14:14 EST,17.600006,269.43,348.5,172.0,59722322,,,,,,,
USCI,36.65,2021/03/10,14:11 EST,0.15000153,36.41,36.65,36.3,75005,,,,,,,
