"","Code","company","details","date","close","x52_high","x52_low","x200_ma","x52_chg_pct","avg_vol","pe_ratio_ttm","market_cap_millions","price_book_mrq","enterprise_value_ebitda","total_cash_per_share_mrq","total_debt_equity_mrq","book_value_per_share_mrq","enterprise_value_millions","float_millions","levered_free_cash_flow_ttm_millions","shares_outstanding_millions","percent_held_by_insiders_percent","trailing_annual_dividend_yield_percent","profit_margin_percent","operating_margin_ttm_percent","quarterly_revenue_growth_yoy_percent","return_on_equity_ttm_percent"
"1","DDD.AX","3D Resources","3D Resources Ltd is an Australia-based company engaged in exploring projects in the East Kimberley and the Eastern Goldfields of Western Australia. The Company focuses on commodities, including gold, copper, silver, lead and zinc. Its projects include Mt Angelo North, Mt Angelo Porphyry, Cosmo Newbery Gold Project and Adelong Gold Project. Mt Angelo North is a copper-zinc-lead project. The Mt Angelo Porphyry Copper Prospect represents porphyry copper deposit. Cosmo Newbery gold-nickel project area is located approximately 95 kilometer (km) north-east (NE) of Laverton, on the Laverton to Warburton road, in the eastern goldfields of Western Australia. The Cosmo Newbery prospect consists of granted tenements and tenement applications covering a total area of approximately 470 km square. The Adelong Gold Project covers approximately 70km square comprising the old Adelong Goldfield situated in Southern New South Wales (NSW) located approximately 20km from Tumut and 80km from Gundagai.",2021-02-12,0,0.01,0,0.01,150,17772001,0,18.1,5,-31.91,0,0,0,17.67,2300,-1.15,3620,35.93,0,0,-66220.97,97,-37.83
"2","AX8.AX","Accelerate Resources Limited","Accelerate Resources Limited is an Australia-based mineral exploration company. The Company is focused on offering cobalt copper and gold exploration services. The Company's assets consist of rights over 8 exploration licenses and applications. Its projects include Mt Read Cobalt Tenements and the WA Gold Tenements. The Mt Read Cobalt Project is in Tasmania and 4 projects across Western Australia including Bulgera, Mt Monger, Comet, and Pilbara Gold. The Bulgera, Mt Monger and Comet gold projects are located in the Eastern Goldfields of Western Australia, proximal to a number of world class deposits where existing mineralization within its project areas. In the Pilbara, the Company has applied for an exploration license which includes units of the Hardey Formation.",2021-02-12,0.05,0.14,0.01,0.07,85.19,384302,0,7.84,1.19,-8,0,0,0.04,6.98,79.57,-0.27,156.85,42.31,0,0,-2163.4,45.2,-39.94
"3","ACS.AX","Accent Resources NL","Accent Resources NL is a mineral exploration company. The Company focuses on the identification of investment opportunities in the resources sector and development of existing projects. It is engaged in the discovery and development of iron ore, base metal and precious metal deposits at its project areas in Western Australia. Its projects include the Magnetite Range Project, the Norseman Gold Project and the Arcadia (Meekatharra) Gold Project. The Magnetite Range Project is an iron magnetite project and is located approximately 310 kilometers north northeast of Perth. The Norseman project comprises approximately five mining leases and eight prospecting licenses covering an area of approximately 256 hectares and is located approximately five kilometers south of Norseman in the Dundas Mineral Field. The Arcadia Meekatharra project (E51/1209) is located approximately 45 kilometers south west of Meekatharra in the Murchison District of the Murchison Mineral Field, Western Australia.",2021-02-12,0.06,0.11,0,0.02,1600,7755,0,51.26,0,-30.59,0.01,0,-0.02,26.78,2.68,-1.07,466.03,98.52,0,0,-1988.82,335.4,0
"4","AIV.AX","ActivEX Limited","ActivEX Limited is a mineral exploration company. The Company holds mineral exploration tenements in Queensland and Western Australia. The Company's focus is on exploration for gold and copper projects across its Queensland tenements. Its Gilberton Gold Project is located in the Georgetown Province in northeast Queensland, approximately 300 kilometers west-northwest of Townville. Its Ravenswood Gold Project is located in the Charters Towers Province in northeast Queensland, approximately 60 kilometers south of Charters Towers. Its Esk Copper and Gold Project consists of five exploration permits (EPM 14476, 14979, 16327, 18717 and part 16265) located approximately 100 kilometers west of Gympie in South East Queensland. Its Barambah Gold Project consists of three exploration permits (EPM 14937, 18732 and part 16265) located approximately 100 kilometers west of Gympie in South East Queensland. Its Cloncurry Copper and Gold Project consists of over 13 exploration permits.",2021-02-12,0.17,0.18,0.08,0.14,-5.56,3964,0,30.11,4.59,-53.4,0,42.26,0.04,32.68,12.81,-0.46,177.13,92.32,0,0,-2914039.06,0,-20.83
"5","ABC.AX","Adbri Limited","ADBRI Limited, formerly Adelaide Brighton Limited, is an integrated construction materials and lime producer, which supplies a range of products into building, construction, infrastructure and mineral processing markets throughout Australia. The Company operates through two segments: Cement, Lime, Concrete and Aggregates, and Concrete Products. The Company’s principal activities include the production, importation, distribution and marketing of clinker, cement, industrial lime, premixed concrete, construction aggregates and concrete products. The major end-use markets of the Company’s products include residential and non-residential construction, engineering construction, alumina production and mining.",2021-02-12,2.98,3.6,1.74,2.96,-6.29,1078563,20.69,1947,1.62,11.11,0.75,82.52,1.84,2430,367.01,96.28,653.33,43.25,3.29,6.45,9.26,-7.3,8.1
"6","ADY.AX","Admiralty Resources NL","Admiralty Resources NL is an Australia-based mineral exploration company. The principal activities of the Company are the exploration for and development of economic mineral deposits. The Company operates through three segments: Australia, Chile and Hong Kong. Its exploration, appraisal, development and production activities for mineral resources take place in Chile. It has borrowing facility located in Hong Kong. The Company has mineral interests in Chile and in Australia. In Chile, the Company holds interest in iron ore districts, including Harper South, Pampa Tololo and El Cojin. The Harper South lies over 15 kilometers south west of the city of Vallenar in the Atacama Region of Chile. The Harper South covers an area of approximately 2,498 hectares. The Harper South includes three projects: Mariposa, Soberana and La Chulula. La Chulula is a project located approximately 15 kilometers south of the city of Vallenar, III Region, Chile.",2021-02-12,0.01,0.07,0,0.01,240,675900,0,16.23,1.4,-35.42,0,93.33,0.01,26.9,659.43,-2.29,1160,40.13,0,-158.75,-79.03,-66.2,-12.55
"7","ADT.AX","Adriatic Metals",NA,2021-02-12,2.34,2.86,0.78,2.25,39.94,231180,0,501.19,36.25,0,0,1.27,0.06,424.42,102.14,0,385.53,47.88,0,0,0,0,-40.06
"8","ANO.AX","Advance NanoTek Limited","Advance Nanotek Ltd, formerly Advanced Nano Technologies Limited, manufactures aluminum oxide powder, zinc oxide dispersions and zinc oxide powder for the personal care sector. The Company operates in the Personal Care segment, which produces and distributes dispersions of mineral-only ultra-violet (UV) filters in cosmetic emollients used for sunscreen, skincare and pharmaceutical formulations, as well as alumina plate-like powders used for cosmetic applications. Its geographical segments include Australia, United States of America, Europe and Rest of the world. It focuses on suncare and skincare sectors. The Company's products include ZinClear and Alusion. It offers a range of transparent zinc-based UV filters in dispersion and powder form under the ZinClear brand. ZinClear range includes ZinClear XP, ZinClear IM and ZinClear XP dispersions. Alusion is a soft focus cosmetic pigment and plate-like aluminum oxide that is used in various applications, such as cosmetics and coatings.",2021-02-12,3.88,6.66,2.92,3.89,-47.53,26495,42.27,223.16,7.83,56.06,0.01,11,0.47,222.96,18.78,-2.88,59.99,70.73,0,17.75,27.58,-61.9,8.77
"9","AML.AX","Aeon Metals","Aeon Metals Limited is engaged in prospect and tenement exploration for a range of minerals. The Company is engaged in the exploration and development of the Walford Creek base metal project and exploration for base and precious metals mineralization in Northwest Queensland. Its mineral assets include Walford Creek copper-lead-zinc-cobalt project; Greater Whitewash Polymetallic project (Greater Whitewash), Ben Hur Copper project (Ben Hur) and 7B Copper/Gold project (7B); Forsayth project; approximately six permits of the Isa North base metals exploration permit for minerals (EPMs) and over four mineral development licenses (MDLs); approximately three permits of the Isa West base metals-phosphate EPMs; approximately 10 permits of the Isa South copper-gold EPMs, and approximately four permits of the Constance Range base metals EPMs. It also has a tenement package in Southeast Queensland with a focus on copper, which consists of Ben Hur, 7B and Greater Whitewash projects.",2021-02-12,0.12,0.22,0.05,0.13,-7.69,507841,0,71.14,1.13,-39.7,0,30.21,0.09,87.69,194.02,-7.84,677.57,25.23,0,0,0,0,-8.24
"10","AIS.AX","Aeris Resources Limited","Aeris Resources Ltd is an Australia-based diversified mining and exploration company. The Company operates a growing portfolio of copper and gold operations, development project and exploration prospects. The Company’s exploring and producing projects includes Tritton Copper operations, Torrens, Canbelego and Cracow Gold project. The Tritton tenement package in New South Wales comprises of seven exploration and mining licences covering 2,160 square kilometers of highly prospective ground for base metal deposits within the Girilambone Basin. The Canbelego Project covers approximately 40 square kilometer and is located 45 kilometers south-west of the Tritton Copper Operations. The Cracow Gold Operations are located in a endowed goldfield with gold mineralisation hosted in steeply dipping structurally controlled low sulphidation epithermal veins.",2021-02-12,0.09,0.13,0.03,0.07,55,7820554,0,170.73,1.88,5.66,0.03,76.26,0.05,167.92,1050,21.19,1900,34.09,0,-16.87,-9.94,0.4,-50.95
