"","Code","company","details","date","close","x52_high","x52_low","x200_ma","x52_chg_pct","avg_vol","pe_ratio_ttm","market_cap_millions","price_book_mrq","enterprise_value_ebitda","total_cash_per_share_mrq","total_debt_equity_mrq","book_value_per_share_mrq","enterprise_value_millions","float_millions","levered_free_cash_flow_ttm_millions","shares_outstanding_millions","percent_held_by_insiders_percent","trailing_annual_dividend_yield_percent","profit_margin_percent","operating_margin_ttm_percent","quarterly_revenue_growth_yoy_percent","return_on_equity_ttm_percent","market_cap_as_factor"
"1","ABC.AX","Adbri Limited","ADBRI Limited, formerly Adelaide Brighton Limited, is an integrated construction materials and lime producer, which supplies a range of products into building, construction, infrastructure and mineral processing markets throughout Australia. The Company operates through two segments: Cement, Lime, Concrete and Aggregates, and Concrete Products. The Company’s principal activities include the production, importation, distribution and marketing of clinker, cement, industrial lime, premixed concrete, construction aggregates and concrete products. The major end-use markets of the Company’s products include residential and non-residential construction, engineering construction, alumina production and mining.",2021-02-12,2.98,3.6,1.74,2.96,-6.29,1078563,20.69,1947,1.62,11.11,0.75,82.52,1.84,2430,367.01,96.28,653.33,43.25,3.29,6.45,9.26,-7.3,8.1,"9"
"2","ADT.AX","Adriatic Metals",NA,2021-02-12,2.34,2.86,0.78,2.25,39.94,231180,0,501.19,36.25,0,0,1.27,0.06,424.42,102.14,0,385.53,47.88,0,0,0,0,-40.06,"7"
"3","ANO.AX","Advance NanoTek Limited","Advance Nanotek Ltd, formerly Advanced Nano Technologies Limited, manufactures aluminum oxide powder, zinc oxide dispersions and zinc oxide powder for the personal care sector. The Company operates in the Personal Care segment, which produces and distributes dispersions of mineral-only ultra-violet (UV) filters in cosmetic emollients used for sunscreen, skincare and pharmaceutical formulations, as well as alumina plate-like powders used for cosmetic applications. Its geographical segments include Australia, United States of America, Europe and Rest of the world. It focuses on suncare and skincare sectors. The Company's products include ZinClear and Alusion. It offers a range of transparent zinc-based UV filters in dispersion and powder form under the ZinClear brand. ZinClear range includes ZinClear XP, ZinClear IM and ZinClear XP dispersions. Alusion is a soft focus cosmetic pigment and plate-like aluminum oxide that is used in various applications, such as cosmetics and coatings.",2021-02-12,3.88,6.66,2.92,3.89,-47.53,26495,42.27,223.16,7.83,56.06,0.01,11,0.47,222.96,18.78,-2.88,59.99,70.73,0,17.75,27.58,-61.9,8.77,"6"
"4","AWC.AX","Alumina","Alumina Limited invests in bauxite mining, alumina refining and selected aluminum smelting operations. The Company's business undertaking is in the global bauxite, alumina and aluminum industry, which it conducts principally through bauxite mining and alumina refining, with some minor alumina-based chemicals businesses, aluminum smelting and the marketing of those products. The Company conducts these business activities through its joint venture, Alcoa World Alumina & Chemicals (AWAC). AWAC is a producer of alumina and miner of bauxite. AWAC operates mines integrated with alumina refineries in Western Australia and Brazil. Other refineries operate in Spain and Texas in the United States. AWAC operates approximately six alumina refineries and one aluminum smelter.",2021-02-12,1.69,2.24,1.29,1.63,-21.66,12162588,54.22,5034,3.13,0,0.01,6.89,0.56,5070,2330,-9.57,2900,19.02,3.76,23400,-3150,-95.5,5.29,"10"
"5","AMC.AX","Amcor","Amcor plc is a packaging company. The Company’s segments include Flexibles and Rigid Plastics. The Company offers a range of packaging related products and services, including packaging for beverages, food, healthcare, and personal and home care, tobacco and industrial applications. The Flexibles consists of operations that manufacture flexible and film packaging in the food and beverage, medical and pharmaceutical, fresh produce, snack food, personal care and other industries. The Rigid Plastics consists of operations that manufacture rigid plastic containers for a range of predominantly beverage and food products, including carbonated soft drinks, water, juices, sports drinks, milk-based beverages, spirits and beer, sauces, dressings, spreads and personal care item and plastic caps for a variety of applications.",2021-02-12,14.54,16.5,9.87,15.25,-4.63,2447945,29.8,23138,4.77,14.98,0.49,143.09,3.08,29110,1550,1330,1560,0,3.18,6.23,10.89,2,15.26,"12"
"6","ABR.AX","American Pacific Borates Limited","American Pacific Borates Limited, formerly American Pacific Borate & Lithium Limited, is an Australia-based company. The Company is focused in advancing its fully owned Fort Cady Boron and Lithium Project. Fort Cady is a colemanite deposit with lithium. The Project is located in the eastern part of Mojave Desert of Southern California in the United States, which is approximately 50 kilometers east of Barstow and 27 kilometers east of Newberry Springs in San Bernardino County, California. The Project lies approximately half way between Los Angeles and Las Vegas, Nevada, around 200 kilometers from both cities. The Project is directly adjacent to the Elementis hectorite mine.",2021-02-12,1.94,2.09,0.14,1.08,376.74,871987,0,746.45,8.73,-137.23,0.12,0,0.23,595.9,174.3,-2.81,375.1,46.61,0,0,-2220.22,54.2,-10.56,"8"
"7","AGG.AX","Anglogold Ashanti","AngloGold Ashanti Limited (AngloGold Ashanti) is a gold mining company. The Company's business activities span the spectrum of the mining value chain. Its main product is gold. Its portfolio includes mine in approximately 10 countries. It also produces silver and sulfuric acid as by-products. The Company operates through three segments: Continental Africa, Australia and Americas. It has operations in Continental Africa in locations, including Democratic Republic of the Congo, Ghana, Guinea, Mali and Tanzania. The Australia segment includes the operations in Australia. It consists of Sunrise Dam and Tropicana. The Americas segment includes the operations in Argentina, Brazil and Colombia.",2021-02-12,6,14,4.8,7,2.35,23342,8.64,12584,0.84,2.69,3.1,94.65,7.23,4150,412.94,67,2080,0,1.81,7.55,24.94,26.4,21.52,"11"
"8","ASM.AX","Australian Strategic Materials Limited","Australian Strategic Materials (Holdings) Ltd, formerly Australian Strategic Materials Ltd, is an Australia-based materials technology company. The Company is focused on producing specialty metals and oxides. The Company develops the Dubbo Project. The Dubbo Project represent an in-ground polymetallic resource of zirconium, rare earths, niobium, hafnium, tantalum and yttrium. The Dubbo Project is located near the village of Toongi, approximately 25 kilometers south of Dubbo in Central Western New South Wales, Australia. The Company focuses to produce a suite of zirconium, praseodymium, neodymium, niobium and hafnium materials in the form of chemicals, powders and metals. It operates a plant in South Korea, which produces titanium, neodymium, praseodymium and dysprosium metal.",2021-02-12,5.27,6.84,0.84,3.58,286.43,531330,0,642.87,0,0,0,0,0,0,0,-6.04,119.05,36.92,0,0,-239.94,-96.6,-36.61,"8"
"9","BHP.AX","BHP Group Limited","BHP Group Ltd, formerly BHP Billiton Ltd, is a global resources company. The Company is a producer of various commodities, including iron ore, metallurgical coal, copper and uranium. Its segments include Petroleum, Copper, Iron Ore and Coal. The Petroleum segment is engaged in the exploration, development and production of oil and gas. The Copper segment is engaged in mining of copper, silver, lead, zinc, molybdenum, uranium and gold. The Iron Ore segment is engaged in mining of iron ore. The Coal segment is engaged in mining of metallurgical coal and thermal (energy) coal. Its businesses include Minerals Australia, Minerals Americas, Petroleum and Marketing. The Company extracts and processes minerals, oil and gas from its production operations located primarily in Australia and the Americas. The Company manages product distribution through its global logistics chain, including freight and pipeline transportation.",2021-02-12,44.72,47.54,24.05,39.73,17.97,6068281,29.94,237722,4.96,12.48,2.66,54.79,9.48,257180,5020,6270,2950,0.17,2.62,18.53,35.29,-12.4,16.79,"15"
"10","BRI.AX","Big River Industries Limited","Big River Industries Limited is an Australia-based diverse manufacturer and distributor of timber and building products. The Company is in the timber products business that operates across the full continuum from procurement of raw materials through to sale of finished products to end users. The Company is a manufacturer of softwood and hardwood formply and structural plywood products in Australia. The Company is a seller of consumable formwork products in Australia. It is also a national merchant of timber and associated building products to local trade, medium sized and enterprise sized companies. It also manufactures a range of steel decking, flooring and specialty plywood products. Its products are sold to professional builders, formworkers, construction companies and building contractors that operate in the residential, non-residential and infrastructure markets. It owns and operates two manufacturing facilities in Wagga Wagga, New South Wales (NSW) and Grafton, NSW.",2021-02-12,1.6,1.69,1.19,1.45,-0.93,10778,22.54,116.92,1.39,11.63,0.14,69.97,1.15,141.43,28.87,-3.4,73.08,11.13,1.53,1.79,3.59,9.9,6.67,"6"
